DATE_HOUR,Impressions,Conversions
2021-09-15-00,5175,50
2021-09-15-01,4858,51
2021-09-15-02,4134,50
2021-09-15-03,3776,50
2021-09-15-04,5399,56
2021-09-15-05,4548,61
2021-09-15-06,1778,32
2021-09-15-07,1757,48
2021-09-15-08,1776,31
2021-09-15-09,1185,25
2021-09-15-10,1227,14
2021-09-15-11,1368,34
2021-09-15-12,1270,20
2021-09-15-13,1809,35
2021-09-15-14,2327,46
2021-09-15-15,2877,23
2021-09-15-16,2854,29
2021-09-15-17,3427,32
2021-09-15-18,3816,42
2021-09-15-19,4808,37
2021-09-15-20,5226,17
2021-09-15-21,4922,21
2021-09-15-22,7593,30
2021-09-15-23,4665,26
2021-09-16-00,5830,41
2021-09-16-01,6543,26
2021-09-16-02,5660,54
2021-09-16-03,20399,107
2021-09-16-04,6980,38
2021-09-16-05,4270,35
2021-09-16-06,4403,76
2021-09-16-07,1687,24
2021-09-16-08,1440,16
2021-09-16-09,1136,28
2021-09-16-10,1254,15
2021-09-16-11,1571,19
2021-09-16-12,2011,22
2021-09-16-13,2388,33
2021-09-16-14,2664,25
2021-09-16-15,2930,33
2021-09-16-16,3139,32
2021-09-16-17,3067,47
2021-09-16-18,3461,30
2021-09-16-19,3466,31
2021-09-16-20,4083,29
2021-09-16-21,3430,41
2021-09-16-22,2082,39
2021-09-16-23,2784,26
2021-09-17-00,9080,40
2021-09-17-01,7377,62
2021-09-17-02,2717,33
2021-09-17-03,2224,36
2021-09-17-04,2273,33
2021-09-17-05,1383,26
2021-09-17-06,1173,28
2021-09-17-07,691,28
2021-09-17-08,650,17
2021-09-17-09,609,17
2021-09-17-10,642,23
2021-09-17-11,595,38
2021-09-17-12,735,29
2021-09-17-13,1268,36
2021-09-17-14,1344,32
2021-09-17-15,2503,36
2021-09-17-16,2656,42
2021-09-17-17,2998,42
2021-09-17-18,2492,51
2021-09-17-19,2846,37
2021-09-17-20,3172,58
2021-09-17-21,2910,33
2021-09-17-22,2426,56
2021-09-17-23,2411,72
2021-09-18-00,2360,33
2021-09-18-01,13538,142
2021-09-18-02,10785,80
2021-09-18-03,3165,65
2021-09-18-04,6101,127
2021-09-18-05,4017,50
