Date,Impressions,Conversions
2021-09-15,82575,860
2021-09-16,96678,867
2021-09-17,57175,905
2021-09-18,387160,1742
2021-09-19,426009,1769
2021-09-20,229811,1990
2021-09-21,153167,2071
2021-09-22,149181,1853
2021-09-23,125938,1660
2021-09-24,74590,1470
2021-09-25,123914,1838
2021-09-26,79421,1517
2021-09-27,127871,1461
2021-09-28,135816,1145
2021-09-29,177584,1084
2021-09-30,87597,839
2021-10-01,128468,934
2021-10-02,107688,928
2021-10-03,95368,875
2021-10-04,113846,857
2021-10-05,151344,1035
2021-10-06,183212,883
2021-10-07,130395,853
2021-10-08,241702,1697
2021-10-09,344829,1951
2021-10-10,285396,1637
2021-10-11,426895,2178
2021-10-12,580401,3675
2021-10-13,992129,9722
2021-10-14,927348,6540
2021-10-15,721973,7086
2021-10-16,1082157,13230
2021-10-17,1001473,10490
2021-10-18,581237,7933
2021-10-19,619633,7807
2021-10-20,1127725,7561
2021-10-21,628520,5937
2021-10-22,540885,6166
2021-10-23,606566,8893
2021-10-24,625980,7314
2021-10-25,328733,4888
2021-10-26,68548,2341
2021-10-27,130296,1695
2021-10-28,49848,1301
2021-10-29,47542,1130
2021-10-30,53405,1367
2021-10-31,59171,1170
2021-11-01,28821,563
2021-11-02,31361,708
2021-11-03,25592,420
2021-11-04,21727,410
2021-11-05,25878,402
2021-11-06,24457,261
2021-11-07,30102,464
2021-11-08,38201,370
2021-11-09,34247,182
2021-11-10,1307,24
2021-11-11,25904,185
2021-11-12,76108,365
2021-11-13,53311,271
2021-11-14,53504,322
2021-11-15,68437,281
